"Time (CET/CEST)","Situation - SCA|NL","Open loop control area error [MW] - SCA|NL"
"01.04.2021 03:51 - 01.04.2021 03:52","Deficit","4.56"
"01.04.2021 03:52 - 01.04.2021 03:53","Deficit","17.29"
"01.04.2021 03:53 - 01.04.2021 03:54","Surplus","13.32"
"01.04.2021 03:54 - 01.04.2021 03:55","Surplus","19.67"
"01.04.2021 03:55 - 01.04.2021 03:56","Deficit","0.31"
"01.04.2021 03:56 - 01.04.2021 03:57","Deficit","29.79"
"01.04.2021 03:57 - 01.04.2021 03:58","Surplus","0.83"
"01.04.2021 03:58 - 01.04.2021 03:59","Deficit","15.21"
"01.04.2021 03:59 - 01.04.2021 04:00","Deficit","12.68"
"01.04.2021 04:00 - 01.04.2021 04:01","Deficit","66.06"
"01.04.2021 04:01 - 01.04.2021 04:02","Deficit","64.59"
"01.04.2021 04:02 - 01.04.2021 04:03","Deficit","110.17"
"01.04.2021 04:03 - 01.04.2021 04:04","Deficit","149.57"
"01.04.2021 04:04 - 01.04.2021 04:05","Deficit","203.78"
"01.04.2021 04:05 - 01.04.2021 04:06","Deficit","243.62"
"01.04.2021 04:06 - 01.04.2021 04:07","Deficit","209.79"
"01.04.2021 04:07 - 01.04.2021 04:08","Deficit","208.26"
"01.04.2021 04:08 - 01.04.2021 04:09","Deficit","155.41"
"01.04.2021 04:09 - 01.04.2021 04:10","Deficit","109.06"
"01.04.2021 04:10 - 01.04.2021 04:11","Deficit","114.51"
"01.04.2021 04:11 - 01.04.2021 04:12","Deficit","102.71"
"01.04.2021 04:12 - 01.04.2021 04:13","Deficit","64.04"
"01.04.2021 04:13 - 01.04.2021 04:14","Deficit","22.24"
"01.04.2021 04:14 - 01.04.2021 04:15","Surplus","11.62"
"01.04.2021 04:15 - 01.04.2021 04:16","Surplus","32.11"
"01.04.2021 04:16 - 01.04.2021 04:17","Deficit","9.66"
"01.04.2021 04:17 - 01.04.2021 04:18","Deficit","16.51"
"01.04.2021 04:18 - 01.04.2021 04:19","Deficit","0.37"
"01.04.2021 04:19 - 01.04.2021 04:20","Surplus","21.26"
"01.04.2021 04:20 - 01.04.2021 04:21","Surplus","15.17"
"01.04.2021 04:21 - 01.04.2021 04:22","Surplus","10.79"
"01.04.2021 04:22 - 01.04.2021 04:23","Surplus","25.88"
"01.04.2021 04:23 - 01.04.2021 04:24","Deficit","27.78"
"01.04.2021 04:24 - 01.04.2021 04:25","Surplus","4.57"
"01.04.2021 04:25 - 01.04.2021 04:26","Surplus","4.64"
"01.04.2021 04:26 - 01.04.2021 04:27","Surplus","19.09"
"01.04.2021 04:27 - 01.04.2021 04:28","Surplus","11.65"
"01.04.2021 04:28 - 01.04.2021 04:29","Surplus","8.91"
"01.04.2021 04:29 - 01.04.2021 04:30","Surplus","29.97"
"01.04.2021 04:30 - 01.04.2021 04:31","Surplus","1.98"
"01.04.2021 04:31 - 01.04.2021 04:32","Deficit","0.23"
"01.04.2021 04:32 - 01.04.2021 04:33","Surplus","36.16"
"01.04.2021 04:33 - 01.04.2021 04:34","Deficit","15.31"
"01.04.2021 04:34 - 01.04.2021 04:35","Deficit","43.09"
"01.04.2021 04:35 - 01.04.2021 04:36","Deficit","52.33"
"01.04.2021 04:36 - 01.04.2021 04:37","Deficit","45.70"
"01.04.2021 04:37 - 01.04.2021 04:38","Deficit","83.40"
"01.04.2021 04:38 - 01.04.2021 04:39","Deficit","41.20"
"01.04.2021 04:39 - 01.04.2021 04:40","Deficit","37.71"
"01.04.2021 04:40 - 01.04.2021 04:41","Deficit","9.84"
"01.04.2021 04:41 - 01.04.2021 04:42","Surplus","34.47"
"01.04.2021 04:42 - 01.04.2021 04:43","Surplus","13.68"
"01.04.2021 04:43 - 01.04.2021 04:44","Surplus","38.04"
"01.04.2021 04:44 - 01.04.2021 04:45","Surplus","18.28"
"01.04.2021 04:45 - 01.04.2021 04:46","Surplus","2.10"
"01.04.2021 04:46 - 01.04.2021 04:47","Deficit","9.61"
"01.04.2021 04:47 - 01.04.2021 04:48","Deficit","5.80"
"01.04.2021 04:48 - 01.04.2021 04:49","Surplus","10.96"
"01.04.2021 04:49 - 01.04.2021 04:50","Surplus","62.62"
"01.04.2021 04:50 - 01.04.2021 04:51","Surplus","98.47"
"01.04.2021 04:51 - 01.04.2021 04:52","Surplus","103.85"
"01.04.2021 04:52 - 01.04.2021 04:53","Surplus","136.94"
"01.04.2021 04:53 - 01.04.2021 04:54","Surplus","142.61"
"01.04.2021 04:54 - 01.04.2021 04:55","Surplus","122.26"
"01.04.2021 04:55 - 01.04.2021 04:56","Surplus","110.26"
"01.04.2021 04:56 - 01.04.2021 04:57","Surplus","67.19"
"01.04.2021 04:57 - 01.04.2021 04:58","Surplus","22.91"
"01.04.2021 04:58 - 01.04.2021 04:59","Surplus","1.95"
"01.04.2021 04:59 - 01.04.2021 05:00","Deficit","89.55"
"01.04.2021 05:00 - 01.04.2021 05:01","Deficit","77.14"
"01.04.2021 05:01 - 01.04.2021 05:02","Deficit","35.10"
"01.04.2021 05:02 - 01.04.2021 05:03","Deficit","19.77"
"01.04.2021 05:03 - 01.04.2021 05:04","Deficit","32.69"
"01.04.2021 05:04 - 01.04.2021 05:05","Deficit","15.81"
"01.04.2021 05:05 - 01.04.2021 05:06","Deficit","49.26"
"01.04.2021 05:06 - 01.04.2021 05:07","Deficit","13.79"
"01.04.2021 05:07 - 01.04.2021 05:08","Deficit","10.75"
"01.04.2021 05:08 - 01.04.2021 05:09","Surplus","6.02"
"01.04.2021 05:09 - 01.04.2021 05:10","Deficit","2.19"
"01.04.2021 05:10 - 01.04.2021 05:11","Deficit","20.74"
"01.04.2021 05:11 - 01.04.2021 05:12","Deficit","2.76"
"01.04.2021 05:12 - 01.04.2021 05:13","Deficit","14.15"
"01.04.2021 05:13 - 01.04.2021 05:14","Surplus","7.19"
"01.04.2021 05:14 - 01.04.2021 05:15","Surplus","14.24"
"01.04.2021 05:15 - 01.04.2021 05:16","Surplus","17.99"
"01.04.2021 05:16 - 01.04.2021 05:17","Deficit","2.68"
"01.04.2021 05:17 - 01.04.2021 05:18","Surplus","22.48"
"01.04.2021 05:18 - 01.04.2021 05:19","Surplus","23.40"
"01.04.2021 05:19 - 01.04.2021 05:20","Deficit","2.89"
"01.04.2021 05:20 - 01.04.2021 05:21","Deficit","4.63"
"01.04.2021 05:21 - 01.04.2021 05:22","Surplus","2.45"
"01.04.2021 05:22 - 01.04.2021 05:23","Deficit","0.09"
"01.04.2021 05:23 - 01.04.2021 05:24","Deficit","2.56"
"01.04.2021 05:24 - 01.04.2021 05:25","Deficit","11.92"
"01.04.2021 05:25 - 01.04.2021 05:26","Surplus","0.64"
"01.04.2021 05:26 - 01.04.2021 05:27","Surplus","10.56"
"01.04.2021 05:27 - 01.04.2021 05:28","Surplus","1.26"
"01.04.2021 05:28 - 01.04.2021 05:29","Surplus","1.16"
"01.04.2021 05:29 - 01.04.2021 05:30","Surplus","0.01"
"01.04.2021 05:30 - 01.04.2021 05:31","Surplus","16.59"
"01.04.2021 05:31 - 01.04.2021 05:32","Deficit","4.87"
"01.04.2021 05:32 - 01.04.2021 05:33","Deficit","4.07"
"01.04.2021 05:33 - 01.04.2021 05:34","Surplus","12.93"
"01.04.2021 05:34 - 01.04.2021 05:35","Surplus","14.18"
