"Imbalance settlement period CET/CEST","Generation / + Imbalance price [Currency/MWh] - SCA|DE(TenneT GER)","Generation / - Imbalance price [Currency/MWh] - SCA|DE(TenneT GER)","Price for consumption [Currency/MWh] - SCA|DE(TenneT GER)","Currency","Status","Total Imbalance [MWh] - SCA|DE(TenneT GER)","Difference","Situation","Status"
"01.01.2021 17:30 - 01.01.2021 17:45","n/e","n/e","n/e","n/e","n/e","39","-1","Surplus","Final"
"01.01.2021 17:45 - 01.01.2021 18:00","n/e","n/e","n/e","n/e","n/e","4","2","Surplus","Final"
"01.01.2021 18:00 - 01.01.2021 18:15","n/e","n/e","n/e","n/e","n/e","18","2","Deficit","Final"
"01.01.2021 18:15 - 01.01.2021 18:30","n/e","n/e","n/e","n/e","n/e","1","1","Surplus","Final"
"01.01.2021 18:30 - 01.01.2021 18:45","n/e","n/e","n/e","n/e","n/e","20","4","Surplus","Final"
"01.01.2021 18:45 - 01.01.2021 19:00","n/e","n/e","n/e","n/e","n/e","66","3","Surplus","Final"
"01.01.2021 19:00 - 01.01.2021 19:15","n/e","n/e","n/e","n/e","n/e","85","5","Surplus","Final"
"01.01.2021 19:15 - 01.01.2021 19:30","n/e","n/e","n/e","n/e","n/e","138","0","Surplus","Final"
"01.01.2021 19:30 - 01.01.2021 19:45","n/e","n/e","n/e","n/e","n/e","146","6","Surplus","Final"
"01.01.2021 19:45 - 01.01.2021 20:00","n/e","n/e","n/e","n/e","n/e","126","5","Surplus","Final"
"01.01.2021 20:00 - 01.01.2021 20:15","n/e","n/e","n/e","n/e","n/e","81","-2","Surplus","Final"
"01.01.2021 20:15 - 01.01.2021 20:30","n/e","n/e","n/e","n/e","n/e","87","2","Surplus","Final"
"01.01.2021 20:30 - 01.01.2021 20:45","n/e","n/e","n/e","n/e","n/e","43","4","Surplus","Final"
"01.01.2021 20:45 - 01.01.2021 21:00","n/e","n/e","n/e","n/e","n/e","32","3","Surplus","Final"
"01.01.2021 21:00 - 01.01.2021 21:15","n/e","n/e","n/e","n/e","n/e","32","-3","Deficit","Final"
"01.01.2021 21:15 - 01.01.2021 21:30","n/e","n/e","n/e","n/e","n/e","24","5","Surplus","Final"
"01.01.2021 21:30 - 01.01.2021 21:45","n/e","n/e","n/e","n/e","n/e","41","3","Surplus","Final"
"01.01.2021 21:45 - 01.01.2021 22:00","n/e","n/e","n/e","n/e","n/e","139","6","Surplus","Final"
"01.01.2021 22:00 - 01.01.2021 22:15","n/e","n/e","n/e","n/e","n/e","126","-1","Surplus","Final"
"01.01.2021 22:15 - 01.01.2021 22:30","n/e","n/e","n/e","n/e","n/e","143","5","Surplus","Final"
"01.01.2021 22:30 - 01.01.2021 22:45","n/e","n/e","n/e","n/e","n/e","75","1","Surplus","Final"
"01.01.2021 22:45 - 01.01.2021 23:00","n/e","n/e","n/e","n/e","n/e","93","3","Surplus","Final"
