"ISP (UTC)","Reserve Type","Source","Type of Product","Price Type","Load Up Price [EUR/MWh] - SCA|NL","Load Down Price [EUR/MWh] - SCA|NL","Generation Up Price [EUR/MWh] - SCA|NL","Generation Down Price [EUR/MWh] - SCA|NL","Not specified Up Price [EUR/MWh] - SCA|NL","Not specified Down Price [EUR/MWh] - SCA|NL"
"01.01.2021 23:00 - 01.01.2021 23:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","11.94"
"01.01.2021 23:15 - 01.01.2021 23:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","34.45"
"01.01.2021 23:30 - 01.01.2021 23:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","31.18"
"01.01.2021 23:45 - 02.01.2021 00:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","30.63"
"02.01.2021 00:00 - 02.01.2021 00:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","29.86"
"02.01.2021 00:15 - 02.01.2021 00:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"02.01.2021 00:30 - 02.01.2021 00:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","40.17"
"02.01.2021 00:45 - 02.01.2021 01:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","34.86"
"02.01.2021 01:00 - 02.01.2021 01:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","34.75"
"02.01.2021 01:15 - 02.01.2021 01:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"02.01.2021 01:30 - 02.01.2021 01:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","37.45"
"02.01.2021 01:45 - 02.01.2021 02:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","32.26"
"02.01.2021 02:00 - 02.01.2021 02:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","31.45"
"02.01.2021 02:15 - 02.01.2021 02:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"02.01.2021 02:30 - 02.01.2021 02:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","34.45"
"02.01.2021 02:45 - 02.01.2021 03:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","21.38"
"02.01.2021 03:00 - 02.01.2021 03:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","31.72"
"02.01.2021 03:15 - 02.01.2021 03:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
"02.01.2021 03:30 - 02.01.2021 03:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","36.94"
"02.01.2021 03:45 - 02.01.2021 04:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","31.45"
"02.01.2021 04:00 - 02.01.2021 04:15","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","34.45"
"02.01.2021 04:15 - 02.01.2021 04:30","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","32.81"
"02.01.2021 04:30 - 02.01.2021 04:45","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","33.91"
"02.01.2021 04:45 - 02.01.2021 05:00","aFRR","Not Specified","N/A","AVERAGE","","","","","0.00","0.00"
